track_id,artist_name,track_name,album_name,album_type,video_title,channel_name,platform,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_sec,mood_category,views,likes,comments,streams,engagement_rate,like_ratio,popularity_score,energy_liveness_ratio,is_licensed,is_official_video
377,Beyoncé,Crazy In Love (feat. Jay-Z),Dangerously In Love,album,Beyoncé - Crazy In Love ft. JAY Z,BeyoncéVEVO,Spotify,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165,236.1,Happy/Energetic,669084413,3218858,66334,836260550,0.00491,0.004811,24.69,10.76923077,1,1
378,Gusttavo Lima,Cavalo de Pau,Cavalo de Pau,single,Bruno & Denner  e Gusttavo Lima -  Cavalo de Pau,Bruno e Denner,Youtube,0.728,0.707,-4.289,0.0328,0.332,0.0,0.462,0.657,126.973,164.0,Happy/Energetic,29010276,82596,775,26230351,0.002874,0.002847,0.77,1.53030303,1,1
379,NLE Choppa,Final Warning,Final Warning,single,NLE Choppa - Final Warning (Official Video),NLE CHOPPA,Spotify,0.847,0.912,-3.129,0.257,0.0781,0.0,0.142,0.88,81.486,156.9,Happy/Energetic,90056509,1176485,52334,91555839,0.013645,0.013064,2.7,6.422535211,1,1
380,Diego & Victor Hugo,Frequência de Saudade - Ao Vivo,Diego & Victor Hugo Ao Vivo Em São Paulo,album,0,0,Spotify,0.452,0.81,-5.907,0.213,0.448,0.0,0.414,0.424,147.868,165.6,Angry/Intense,0,0,0,1751423,0.0,0.0,0.05,1.956521739,0,0
381,Benny Benassi,Fade to Black,Fade to Black,single,Benny Benassi x Astrality - Fade To Black,Selected.,Spotify,0.652,0.725,-8.663,0.0402,0.167,0.00398,0.139,0.039,123.958,176.1,Angry/Intense,137677,3984,80,2544920,0.029518,0.028937,0.08,5.215827338,1,1
382,Pierce The Veil,Hold On Till May,Collide With The Sky,album,Pierce The Veil - Hold On Till May (Track 12),Fearless Records,Spotify,0.46,0.91,-3.71,0.0525,0.000585,0.00155,0.0735,0.327,73.019,278.6,Angry/Intense,8098615,74138,6319,60951211,0.009935,0.009154,1.8,12.38095238,0,0
383,Rise Against,Hero Of War,Appeal To Reason,album,Rise Against - Hero Of War (Official Video),RiseAgainstVEVO,Spotify,0.645,0.417,-7.022,0.029,0.543,0.0,0.0982,0.256,77.054,253.1,Sad/Mellow,52771717,295387,51574,160682674,0.006575,0.005597,4.74,4.246435845,1,1
384,Lil Jon,Live The Night,Live The Night,single,W&W & Hardwell & Lil Jon - Live The Night (Official Audio),Scorpio Music,Spotify,0.805,0.968,-3.909,0.227,0.00707,0.00091,0.368,0.211,127.984,133.1,Angry/Intense,2526998,22407,303,58705100,0.008987,0.008867,1.73,2.630434783,0,0
385,The Notorious B.I.G.,Gimme the Loot - 2005 Remaster,Ready to Die (The Remaster),album,The Notorious B.I.G. - Gimme the Loot (Official Audio),The Notorious B.I.G.,Spotify,0.721,0.662,-8.136,0.403,0.0888,0.0,0.178,0.68,94.191,285.9,Happy/Energetic,12960794,132704,3865,113010757,0.010537,0.010239,3.34,3.719101124,1,1
386,City Girls,BILLS PAID (feat. Latto & City Girls),GOD DID,album,"DJ Khaled - BILLS PAID (Official Audio) ft. Latto, City Girls",DJKhaledVEVO,Spotify,0.74,0.687,-7.193,0.218,0.00828,0.0,0.352,0.63,105.034,208.9,Happy/Energetic,647899,15831,965,8930963,0.025924,0.024434,0.26,1.951704545,1,1
